1086,CONTAINER,1,1,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,2,2,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,3,3,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,4,4,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,5,5,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,6,6,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,7,7,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,8,8,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,9,9,110.00,101.00,22.22,19.20,0.00,25.00,5.00
1086,CONTAINER,10,10,110.00,101.00,22.22,19.20,1.00,25.00,5.00
1086,GLIDER,57,67,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,58,68,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,59,69,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,60,70,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,61,71,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,62,72,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,63,73,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,64,74,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,65,75,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,66,76,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,67,77,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,68,78,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,69,79,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,70,80,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,71,81,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,72,82,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,73,83,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,74,84,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,75,85,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,76,86,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,77,87,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,78,88,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,79,89,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,80,90,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,81,91,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,82,92,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,83,93,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,84,94,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,85,95,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,86,96,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,87,97,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,88,98,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,89,99,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,90,100,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,91,101,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
1086,GLIDER,92,102,110.00,101.00,22.22,19.20,7.50,25.00,5.00,1.00
